Id,Prediction
2,1
3,1
4,1
6,0
7,0
8,0
9,0
11,1
13,0
19,1
20,1
24,0
28,1
29,1
30,1
32,0
34,1
39,0
47,1
52,0
54,1
58,1
60,1
61,1
62,0
63,1
65,1
68,1
71,1
72,1
73,1
82,1
83,1
84,1
85,0
90,0
92,0
94,0
95,1
97,1
98,1
103,0
107,0
109,0
114,0
119,1
125,0
127,1
129,1
130,0
131,1
134,0
135,0
137,1
139,0
140,0
142,1
145,0
150,1
152,1
154,0
159,1
164,1
166,0
167,0
169,1
174,0
178,1
180,0
181,1
184,1
185,0
187,0
192,1
197,0
199,0
204,0
209,0
210,1
211,0
212,1
214,0
216,0
218,1
222,0
224,1
229,0
232,1
235,0
237,1
245,0
250,1
254,1
258,0
259,0
265,0
272,1
273,0
274,1
276,0
277,0
278,0
279,0
284,0
286,0
290,1
294,0
295,0
297,0
298,1
305,1
306,0
308,0
310,0
317,1
323,0
324,0
326,1
328,1
330,0
332,1
347,0
351,1
358,0
360,0
361,1
365,1
366,1
375,1
376,0
378,0
384,0
385,1
390,1
391,0
396,0
405,0
414,1
419,1
423,0
425,1
427,0
429,1
430,1
433,1
437,1
439,0
440,1
443,1
444,0
446,0
452,0
455,1
459,1
461,0
467,1
468,0
471,0
478,1
481,1
482,1
486,1
498,1
500,1
504,1
507,0
511,1
513,0
514,1
515,0
520,1
523,0
529,1
534,1
536,1
544,1
546,1
547,1
561,0
565,1
568,1
571,0
573,0
574,0
576,0
577,1
579,0
582,0
585,1
588,1
591,1
600,1
601,1
604,1
606,1
608,1
609,0
613,0
615,0
616,0
618,1
619,1
620,1
622,0
624,0
626,0
628,0
630,0
634,1
636,0
640,1
641,0
642,0
643,1
644,0
645,0
647,1
649,1
651,1
655,0
658,1
661,0
662,0
664,1
670,1
671,1
674,1
678,1
684,0
686,1
691,1
693,0
694,0
695,1
699,1
708,1
710,0
715,0
716,1
717,1
719,0
724,0
727,1
729,1
730,1
731,0
734,1
736,1
738,1
741,1
744,0
745,1
748,0
750,0
751,1
753,0
759,0
763,1
768,1
771,1
774,1
775,0
779,0
781,0
782,0
786,1
790,1
793,1
794,0
798,1
800,1
803,1
805,1
807,1
810,0
813,1
814,1
819,1
824,1
830,1
833,1
841,1
842,0
849,1
852,0
853,1
854,0
856,1
860,1
861,0
862,0
864,1
866,0
875,0
880,1
885,1
886,0
888,1
893,1
896,0
899,0
906,1
913,0
915,1
920,0
923,0
925,0
931,1
939,0
940,1
943,1
944,0
948,0
949,0
955,1
958,0
962,0
964,1
965,1
